=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2011.06.08 17:04:38 =~=~=~=~=~=~=~=~=~=~=~=
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1589, Data: 5,89,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1590, Data: 5,90,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1591, Data: 5,91,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1592, Data: 5,92,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1593, Data: 5,93,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1594, Data: 5,94,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1595, Data: 5,95,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1596, Data: 5,96,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1597, Data: 5,97,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1598, Data: 5,98,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1599, Data: 5,99,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1600, Data: 5,100,0,u,
Sunday, 01/01/01 - 00:07.16
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1601, Data: 5,1,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1602, Data: 5,2,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1603, Data: 5,3,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1604, Data: 5,4,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1605, Data: 5,5,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1606, Data: 5,6,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1607, Data: 5,7,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1608, Data: 5,8,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1609, Data: 5,9,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1610, Data: 5,10,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1611, Data: 5,11,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1612, Data: 5,12,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1613, Data: 5,13,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1614, Data: 5,14,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1615, Data: 5,15,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1616, Data: 5,16,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1617, Data: 5,17,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1618, Data: 5,18,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1619, Data: 5,19,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1620, Data: 5,20,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1621, Data: 5,21,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1622, Data: 5,22,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1623, Data: 5,23,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1624, Data: 5,24,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1625, Data: 5,25,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1626, Data: 5,26,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1627, Data: 5,27,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1628, Data: 5,28,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1629, Data: 5,29,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1630, Data: 5,30,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1631, Data: 5,31,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1632, Data: 5,32,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1633, Data: 5,33,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1634, Data: 5,34,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1635, Data: 5,35,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1636, Data: 5,36,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1637, Data: 5,37,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1638, Data: 5,38,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1639, Data: 5,39,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1640, Data: 5,40,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1641, Data: 5,41,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1642, Data: 5,42,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1643, Data: 5,43,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1644, Data: 5,44,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1645, Data: 5,45,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1646, Data: 5,46,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1647, Data: 5,47,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1648, Data: 5,48,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1649, Data: 5,49,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1650, Data: 5,50,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1651, Data: 5,51,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1652, Data: 5,52,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1653, Data: 5,53,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1654, Data: 5,54,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1655, Data: 5,55,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1656, Data: 5,56,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1657, Data: 5,57,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1658, Data: 5,58,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1659, Data: 5,59,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1660, Data: 5,60,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1661, Data: 5,61,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1662, Data: 5,62,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1663, Data: 5,63,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1664, Data: 5,64,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1665, Data: 5,65,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1666, Data: 5,66,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1667, Data: 5,67,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1668, Data: 5,68,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1669, Data: 5,69,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1670, Data: 5,70,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1671, Data: 5,71,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1672, Data: 5,72,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1673, Data: 5,73,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1674, Data: 5,74,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1675, Data: 5,75,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1676, Data: 5,76,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1677, Data: 5,77,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1678, Data: 5,78,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1679, Data: 5,79,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1680, Data: 5,80,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1681, Data: 5,81,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1682, Data: 5,82,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1683, Data: 5,83,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1684, Data: 5,84,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1685, Data: 5,85,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1686, Data: 5,86,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1687, Data: 5,87,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1688, Data: 5,88,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1689, Data: 5,89,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1690, Data: 5,90,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1691, Data: 5,91,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1692, Data: 5,92,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1693, Data: 5,93,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1694, Data: 5,94,1,u,
